TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
019-12-30 19:30:30.083803,209,D,General Dynamics,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,210,E,General Electric,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,211,GP,General Growth Properties Inc.,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,212,IS,General Mills,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,213,M,General Motors,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,214,PC,Genuine Parts,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,215,ILD,Gilead Sciences,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,216,PN,Global Payments Inc.,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,217,S,Goldman Sachs Group,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,218,T,Goodyear Tire & Rubber,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,219,WW,Grainger (W.W.) Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,220,AL,Halliburton Co.,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,221,BI,Hanesbrands Inc,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,222,OG,Harley-Davidson,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,223,RS,Harris Corporation,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,224,IG,Hartford Financial Svc.Gp.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,225,AS,Hasbro Inc.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,226,CA,HCA Holdings,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,227,CP,HCP Inc.,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,228,P,Helmerich & Payne,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,229,SIC,Henry Schein,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,230,ES,Hess Corporation,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,231,PE,Hewlett Packard Enterprise,Information Technology,0,,,2019-12-30 19:30:30.107017,
